KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
V39.1;Potnik, poškodovan pri trčenju z druge vrste in neopredeljenim motornim vozilom v neprometni nezgodi;Passenger of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V39.2;Neopredeljena oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z druge vrste in neopredeljenim motornim vozilom v neprometni nezgodi;Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V39.3;Oseba v trokolesnem motornem vozilu, poškodovana v neopredeljeni neprometni nezgodi;Occupant [any] of three-wheeled motor vehicle injured in unspecified nontraffic accident
V39.4;Voznik, poškodovan poškodovan pri trčenju z druge vrste in neopredeljenim motornim vozilom v prometni nezgodi;Driver of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V39.5;Potnik, poškodovan pri trčenju z druge vrste in neopredeljenim motornim vozilom v prometni nezgodi;Passenger of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V39.6;Neopredeljena oseba v trokolesnem motornem vozilu, poškodovana pri trčenju z drugim in neopredeljenim motornim vozilom v prometni nezgodi;Unspecified occupant of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V39.8;Oseba v trokolesnem motornem vozilu, poškodovana v drugih opredeljenih transportnih nezgodah;Occupant [any] of three-wheeled motor vehicle injured in other specified transport accidents
V39.9;Oseba v trokolesnem motornem vozilu, poškodovana v neopredeljeni prometni nezgodi;Occupant [any] of three-wheeled motor vehicle injured in unspecified traffic accident
V40;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo;Car occupant injured in collision with pedestrian or animal
V40.0;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident
V40.00;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, sedan
V40.01;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, all-terrain four-wheel drive
V40.02;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, four-wheeled motorcycle
V40.03;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, passenger van
V40.08;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, other specified car [automobile]
V40.09;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, driver, nontraffic accident, unspecified car [automobile]
V40.1;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident
V40.10;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, sedan
V40.11;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, all-terrain four-wheel drive
V40.12;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, four-wheeled motorcycle
V40.13;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, passenger van
V40.18;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, other specified car [automobile]
V40.19;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, passenger, nontraffic accident, unspecified car [automobile]
V40.2;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident
V40.20;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, sedan
V40.21;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive
V40.22;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle
V40.23;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, passenger van
V40.28;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, other specified car [automobile]
V40.29;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, nontraffic accident, unspecified car [automobile]
V40.3;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident
V40.30;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, sedan 
V40.31;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive 
V40.32;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, four-wheeled motorcycle
V40.33;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, passenger van
V40.38;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, other specified car [automobile] 
V40.39;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, nontraffic accident, unspecified car [automobile] 
V40.4;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem;Car occupant injured in collision with pedestrian or animal, while boarding or alighting
V40.40;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, while boarding or alighting, sedan 
V40.41;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, while boarding or alighting, all-terrain four-wheel drive
V40.42;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, while boarding or alighting, four-wheeled motorcycle
V40.43;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, potniški kombi;Car occupant injured in collision with pedestrian or animal, while boarding or alighting, passenger van 
V40.48;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, while boarding or alighting, other specified car [automobile] 
V40.49;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba, poškodovana med vstopanjem ali izstopanjem, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, while boarding or alighting, unspecified car [automobile] 
V40.5;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi;Car occupant injured in collision with pedestrian or animal, driver, traffic accident
V40.50;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, driver, traffic accident, sedan 
V40.51;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, driver, traffic accident, all-terrain four-wheel drive
V40.52;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, driver, traffic accident, four-wheeled motorcycle
V40.53;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, driver, traffic accident, passenger van 
V40.58;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, driver, traffic accident, other specified car [automobile] 
V40.59;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, voznik, poškodovan v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, driver, traffic accident, unspecified car [automobile] 
V40.6;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident
V40.60;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, sedan 
V40.61;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, all-terrain four-wheel drive 
V40.62;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, four-wheeled motorcycle
V40.63;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, passenger van 
V40.68;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, other specified car [automobile] 
V40.69;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, potnik, poškodovan v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, passenger, traffic accident, unspecified car [automobile] 
V40.7;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident
V40.70;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, sedan 
V40.71;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, all-terrain four-wheel drive 
V40.72;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, four-wheeled motorcycle
V40.73;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, passenger van 
V40.78;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, other specified car [automobile] 
V40.79;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, person on outside of vehicle, traffic accident, unspecified car [automobile] 
V40.9;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident
V40.90;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, sedan 
V40.91;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, all-terrain four-wheel drive 
V40.92;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, four-wheeled motorcycle
V40.93;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, passenger van 
V40.98;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, other specified car [automobile] 
V40.99;Oseba v avtomobilu, poškodovana pri trčenju s pešcem ali z živaljo, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, unspecified car [automobile] 
V41;Oseba v avtomobilu, poškodovana pri trčenju s kolesom;Car occupant injured in collision with pedal cycle
V41.0;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi;Car occupant injured in collision with pedal cycle, driver, nontraffic accident
V41.00;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, driver, nontraffic accident, sedan 
V41.01;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, driver, nontraffic accident, all-terrain four-wheel drive 
V41.02;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, driver, nontraffic accident, four-wheeled motorcycle
V41.03;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, driver, nontraffic accident, passenger van 
V41.08;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, driver, nontraffic accident, other specified car [automobile] 
V41.09;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, driver, nontraffic accident, unspecified car [automobile] 
V41.1;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident
V41.10;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, sedan
V41.11;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, all-terrain four-wheel drive 
V41.12;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, four-wheeled motorcycle
V41.13;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, passenger van
V41.18;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, other specified car [automobile]
V41.19;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, unspecified car [automobile] 
V41.2;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident
V41.20;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, sedan
V41.21;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive
V41.22;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle
V41.23;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, passenger van
V41.28;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, other specified car [automobile]
V41.29;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, unspecified car [automobile]
V41.3;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident
V41.30;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, sedan 
V41.31;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive 
V41.32;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, four-wheeled motorcycle
V41.33;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, passenger van
V41.38;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, other specified car [automobile] 
V41.39;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, unspecified car [automobile] 
V41.4;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem;Car occupant injured in collision with pedal cycle, while boarding or alighting
V41.40;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, limuzina (sedan);Car occupant injured in collision with pedal cycle, while boarding or alighting, sedan
V41.41;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, while boarding or alighting, all-terrain four-wheel drive
V41.42;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, while boarding or alighting, four-wheeled motorcycle
V41.43;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, potniški kombi;Car occupant injured in collision with pedal cycle, while boarding or alighting, passenger van
V41.48;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, while boarding or alighting, other specified car [automobile]
V41.49;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba, poškodovana med vstopanjem ali izstopanjem, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, while boarding or alighting, unspecified car [automobile]
V41.5;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi;Car occupant injured in collision with pedal cycle, driver, traffic accident
V41.50;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, driver, traffic accident, sedan
V41.51;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, driver, traffic accident, all-terrain four-wheel drive
V41.52;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, driver, traffic accident, four-wheeled motorcycle
V41.53;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, driver, traffic accident, passenger van
V41.58;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, driver, traffic accident, other specified car [automobile
V41.59;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, voznik, poškodovan v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, driver, traffic accident, unspecified car [automobile]
V41.6;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi;Car occupant injured in collision with pedal cycle, passenger, traffic accident
V41.60;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, passenger, traffic accident, sedan
V41.61;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, passenger, traffic accident, all-terrain four-wheel drive
V41.62;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, passenger, traffic accident, four-wheeled motorcycle
V41.63;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, passenger, traffic accident, passenger van
V41.68;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, passenger, traffic accident, other specified car [automobile]
V41.69;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, potnik, poškodovan v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, passenger, traffic accident, unspecified car [automobile]
V41.7;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident
V41.70;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, sedan
V41.71;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, all-terrain four-wheel drive
V41.72;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, four-wheeled motorcycle
